Название,Тикер,Биржа,Cектор,Изм.%
Brooks Laboratories Ltd,BROO,NSE,Здравоохранение,"-0,49"
Bharat Rasayan Ltd,BRSN,NSE,Материалы,"0,59"
Bharti Airtel,BRTI,NSE,Услуги связи,"-0,38"
Bharti Airtel,BRTIpp,NSE,Услуги связи,"-0,31"
BSE,BSEL,NSE,Финансы,"-1,6"
BSL Ltd,BSLL,NSE,Потребительский сектор,"-5,01"
Beta Drugs,BTAD,NSE,Здравоохранение,"-1,27"
Butterfly Gandhimathi,BUTT,NSE,Потребительский сектор,"0,18"
Cadsys,CADS,NSE,Промышленность,0
California Software Company,CALI,NSE,Информационные технологии,"-0,51"
Camlin Fine Sciences Ltd,CAMF,NSE,Материалы,"-0,83"
Campus Activewear,CAMU,NSE,Потребительский сектор,"-0,79"
Capacite Infraprojects,CAPE,NSE,Промышленность,"-0,09"
Capri Global Capital,CAPG,NSE,Финансы,"0,19"
Caplin Point Laboratories Ltd,CAPL,NSE,Здравоохранение,"-0,61"
Capital Trust,CAPT,NSE,Финансы,"-2,94"
Career Point Ltd,CARP,NSE,Потребительский сектор,"0,34"
Cartrade Tech,CART,NSE,Потребительский сектор,"0,74"
CL Educate,CARU,NSE,Потребительский сектор,"1,29"
Castrol India,CAST,NSE,Материалы,"2,95"
Cambridge Technology Enterprises,CATE,NSE,Информационные технологии,"-2,02"
Central Bank of India,CBI,NSE,Финансы,0
C C Constructions Ltd,CCCL,NSE,Промышленность,"-4,48"
Cords Cable Industries Ltd,CCIL,NSE,Промышленность,"4,67"
CCL Products India Ltd,CCLP,NSE,Производители товаров массового потребления,"-1,73"
Consolidated Construction Cons,CCON,NSE,Промышленность,"-2,78"
Container India,CCRI,NSE,Промышленность,"-1,39"
CEAT Ltd,CEAT,NSE,Потребительский сектор,"-0,64"
CE Info Systems,CEIF,NSE,Информационные технологии,"0,96"
Cerebra Integrated Technolog,CEIT,NSE,Информационные технологии,"-0,63"
Celestial Biolabs Ltd,CELA,NSE,Здравоохранение,0
Celebrity Fashions Ltd,CELF,NSE,Потребительский сектор,"8,67"
Central Depository Services,CENA,NSE,Финансы,"-1,45"
Centrum Capital,CENC,NSE,Финансы,"0,2"
Centum Electronics Ltd,CENT,NSE,Информационные технологии,"-0,16"
Cera Sanitaryware Ltd,CERA,NSE,Промышленность,"0,25"
CESC,CESC,NSE,Коммунальные услуги,"-1,32"
Creative Eye Ltd,CEYE,NSE,Услуги связи,"2,13"
Choice Intl,CFSL,NSE,Финансы,"-0,47"
CG Power and Industrial Solutions,CGPO,NSE,Промышленность,"0,36"
Chalet Hotels,CHAL,NSE,Потребительский сектор,"-0,46"
Chembond Chemicals,CHEM,NSE,Материалы,"-2,41"
Chemcon,CHEO,NSE,Материалы,"-2,63"
