Название,Тикер,Биржа,Cектор,Изм.%
ITC,ITC,NSE,Производители товаров массового потребления,"-1,95"
ITD Cementation India Ltd,ITCM,NSE,Промышленность,"0,09"
India Tourism Development,ITDC,NSE,Потребительский сектор,"-0,71"
ITI Ltd,ITEL,NSE,Информационные технологии,"-0,55"
Indian Terrain Fashions Ltd,ITFL,NSE,Потребительский сектор,"-1,64"
Indo Thai Securities Ltd,ITSL,NSE,Финансы,"-4,99"
IVP Ltd,IVPL,NSE,Материалы,"-1,82"
IVRCL,IVRC,NSE,Промышленность,0
Izmo Ltd,IZMO,NSE,Потребительский сектор,"-3,38"
Jayant Agro Organics Ltd,JAAO,NSE,Материалы,"-2,39"
Jagran Prakashan,JAGP,NSE,Услуги связи,"-2,35"
Jaiprakash,JAIA,NSE,Промышленность,"10,8"
Jai Balaji Industries,JAIB,NSE,Материалы,"-1,53"
Jai Corp,JAIC,NSE,Материалы,"-1,87"
Jainam Ferro Alloys I,JAIM,NSE,Материалы,0
Jain Irrigation Systems,JAIR,NSE,Промышленность,"-2,38"
Jain Irrigation Systems Ltd,JAIRdv,NSE,Промышленность,"-0,5"
Jakharia Fabric,JAKH,NSE,Потребительский сектор,0
Jalan Transolutions,JALN,NSE,Промышленность,"3,66"
Jaiprakash Power Ventures,JAPR,NSE,Коммунальные услуги,"3,68"
Jayaswal Neco Industries Ltd,JAYN,NSE,Материалы,"-1,49"
JB Chemicals & Pharmaceuticals,JBCH,NSE,Здравоохранение,"-0,51"
JBF Industries Ltd,JBFI,NSE,Потребительский сектор,"-0,89"
JBM Auto,JBMA,NSE,Потребительский сектор,"-1,22"
Johnson Controls-Hitachi Air,JCHA,NSE,Потребительский сектор,"-1,1"
Jeena Sikho Lifecare,JEEN,NSE,Здравоохранение,"3,33"
Jet Airways,JET,NSE,Промышленность,"-0,36"
Jet Knitwears,JETK,NSE,Потребительский сектор,0
Jet Freight Logistics,JETR,NSE,Промышленность,"0,74"
Jagson Pal Pharmaceuticals Ltd,JGSN,NSE,Здравоохранение,"-2,14"
JHS Svendgaard Laboratories,JHSS,NSE,Производители товаров массового потребления,"-0,88"
Jindal Cotex Ltd,JICL,NSE,Потребительский сектор,"-2,17"
Jik Industries,JIKI,NSE,Потребительский сектор,"9,09"
Jindal Stainless,JINA,NSE,Материалы,0
Jindal Saw Ltd,JIND,NSE,Материалы,"-0,24"
Jindal Poly,JINL,NSE,Финансы,"-3,93"
Jindal Photo Ltd,JINP,NSE,Финансы,"-3,75"
Jindal Worldwide,JINW,NSE,Потребительский сектор,"1,65"
Jindal Stainless,JIST,NSE,Материалы,"-1,45"
JITF Infralogistics,JITF,NSE,Промышленность,"2,53"
Jiya Eco-Products,JIYA,NSE,Энергетика,0
The Jammu & Kashmir Bank,JKBK,NSE,Финансы,"-1,54"
J.K. Cement,JKCE,NSE,Материалы,"-0,86"
JK Tyre & Industries,JKIN,NSE,Потребительский сектор,"-1,42"
J Kumar Infraprojects,JKIP,NSE,Промышленность,"-2,23"
JK Lakshmi Cement Ltd,JKLC,NSE,Материалы,"-0,97"
JK Paper Ltd,JKPA,NSE,Материалы,"0,57"
JMC Projects,JMCP,NSE,Промышленность,"2,03"
Jamna Auto,JMNA,NSE,Промышленность,"-1,35"
JM Financial,JMSH,NSE,Финансы,"-1,84"
JMT Auto,JMTA,NSE,Потребительский сектор,0
Jindal Drilling Industries,JNDR,NSE,Энергетика,"3,72"
Jindal,JNSP,NSE,Материалы,"0,09"
JSW Holdings,JNSW,NSE,Финансы,"-0,98"
Jocil Ltd,JOCI,NSE,Материалы,"-0,41"
Jindal Poly Films,JPLY,NSE,Материалы,"-1,8"
Jash Eng,JSHE,NSE,Промышленность,"3,95"
Jain Studios Ltd,JSTD,NSE,Услуги связи,0
JSW Steel,JSTL,NSE,Материалы,"-0,38"
JSW Energy,JSWE,NSE,Коммунальные услуги,"0,43"
JSW Ispat Special Products,JSWP,NSE,Материалы,"-1,05"
JTEKT India,JTEK,NSE,Потребительский сектор,"-1,19"
JTL Infra,JTLI,NSE,Материалы,"-1,6"
Jubilant Pharmova,JUBA,NSE,Здравоохранение,"-1,15"
Jubilant Foodworks,JUBI,NSE,Потребительский сектор,"-0,76"
Jubilant Industries Ltd,JUBL,NSE,Материалы,"-1,16"
Jubilant Ingrevia,JUBN,NSE,Материалы,"1,81"
Jullundur Motor,JULL,NSE,Потребительский сектор,"-0,67"
Just Dial,JUST,NSE,Услуги связи,"-1,21"
Jupiter Wagons,JUWL,NSE,Промышленность,"-1,19"
Jay Bharat Maruti Ltd,JYBM,NSE,Потребительский сектор,"-0,11"
Jyothy Laboratories Ltd,JYOI,NSE,Производители товаров массового потребления,"2,68"
Jaypee Infratech,JYPE,NSE,Промышленность,"2,63"
Jayshree Tea & Industries,JYST,NSE,Производители товаров массового потребления,"-0,88"
Jyoti Structures,JYTS,NSE,Промышленность,0
Kajaria Ceramics,KAJR,NSE,Промышленность,"-1,26"
Kalyani Investment Company Ltd,KALA,NSE,Финансы,"0,11"
Kalyani Forge Ltd,KALF,NSE,Потребительский сектор,"-1,32"
Kalyan Jewellers India,KALN,NSE,Потребительский сектор,"-0,29"
Kamdhenu,KAMI,NSE,Материалы,"-0,58"
Kamat Hotels India Ltd,KAMT,NSE,Потребительский сектор,"-1,94"
Kansai Nerolac Paints,KANE,NSE,Материалы,"-0,04"
Kanani Industries Ltd,KANN,NSE,Потребительский сектор,"0,58"
Kapston Facilities,KAPS,NSE,Промышленность,"0,72"
Kalpataru Power Transmission,KAPT,NSE,Промышленность,"-0,2"
Karuturi Global,KART,NSE,Производители товаров массового потребления,0
Karur Vysya Bank,KARU,NSE,Финансы,"-0,36"
Kavveri Telecom Products Ltd,KATL,NSE,Информационные технологии,-3
Kuantum Papers,KAUN,NSE,Материалы,"-2,7"
Kaushalya Infrastructure Dev,KAUS,NSE,Промышленность,"2,11"
Kaya Ltd,KAYA,NSE,Потребительский сектор,"-1,54"
KBC Global,KBCG,NSE,Недвижимость,"2,17"
The Karnataka Bank,KBNK,NSE,Финансы,"-2,3"
Kabra Extrusion Technik Ltd,KBRE,NSE,Промышленность,"-1,69"
KCP,KCP,NSE,Материалы,"2,66"
KCP Sugar Industries Corp,KCPS,NSE,Производители товаров массового потребления,"1,12"
KDDL,KDDL,NSE,Потребительский сектор,"-0,77"
KEC International,KECL,NSE,Промышленность,"-2,23"
Keerti Knowledge,KEET,NSE,Потребительский сектор,0
KEI Industries Ltd,KEIN,NSE,Промышленность,"-0,63"
Kellton Tech Solutions,KELL,NSE,Информационные технологии,"-1,07"
Kennametal India,KENI,NSE,Промышленность,"0,03"
Keynote Financial,KEYN,NSE,Финансы,"0,86"
Khadim India,KHAD,NSE,Потребительский сектор,"0,87"
Khaitan India Ltd,KHAI,NSE,Производители товаров массового потребления,"0,11"
Khaitan Chemicals and Fertilizers,KHCF,NSE,Материалы,"-0,86"
KHFM Hospitality,KHFM,NSE,Промышленность,0
Khandwala Securities,KHSE,NSE,Финансы,"-4,52"
Kilitch Drugs India Ltd,KIDI,NSE,Здравоохранение,"-1,56"
Kingfa Science and Tech India,KINA,NSE,Материалы,"-0,98"
KIOCL,KIOC,NSE,Материалы,"-0,29"
Kiri Industries,KIRI,NSE,Материалы,"0,46"
Kirloskar Industries Ltd,KIRL,NSE,Материалы,"-0,31"
Kirloskar Oil Engines Ltd,KIRO,NSE,Промышленность,"-0,45"
Krishna Defence Allied,KISH,NSE,Промышленность,0
Kitex Garments Ltd,KITE,NSE,Потребительский сектор,"-2,39"
Kewal Kiran,KKCL,NSE,Потребительский сектор,"3,01"
Kakatiya Cement Sugar Ind,KKTY,NSE,Материалы,"-0,83"
KKV Agro Powers,KKVA,NSE,Коммунальные услуги,0
Kalyani Steels Ltd,KLSL,NSE,Материалы,"0,28"
Kalyani Commercials,KLYA,NSE,Потребительский сектор,0
Kovai Medical Center and Hospital,KMCH,NSE,Здравоохранение,"-0,65"
Kernex Microsystems India,KMIL,NSE,Информационные технологии,5
K M Sugar Mills Ltd,KMSU,NSE,Производители товаров массового потребления,"0,37"
KN Agri Resources,KNAG,NSE,Производители товаров массового потребления,"3,28"
Kanoria Chemicals Industries,KNRC,NSE,Материалы,"2,62"
KNR Constructions,KNRL,NSE,Промышленность,"-1,32"
Kokuyo Camlin Ltd,KOCL,NSE,Промышленность,"-0,92"
Kohinoor Foods Ltd,KOFO,NSE,Производители товаров массового потребления,"-2,5"
Kolte Patil,KOLT,NSE,Недвижимость,"-1,93"
Kotyark Industries,KOTY,NSE,Энергетика,"-2,48"
KPIT Tech,KPIE,NSE,Информационные технологии,"-3,43"
KPI Global,KPIG,NSE,Коммунальные услуги,"-2,33"
Kanpur Plastipack,KPLA,NSE,Материалы,"-2,95"
Kothari Petrochemicals Ltd,KPOC,NSE,Материалы,"0,83"
KPR Mill,KPRM,NSE,Потребительский сектор,"0,19"
Kopran Ltd,KPRN,NSE,Здравоохранение,"-0,24"
Kothari Products Ltd,KPRO,NSE,Промышленность,"2,34"
KRBL Ltd,KRBL,NSE,Производители товаров массового потребления,"-2,08"
Kirloskar Brothers Ltd,KRBR,NSE,Промышленность,"-2,54"
Krebs Biochemicals,KREB,NSE,Здравоохранение,"-0,31"
Kirloskar Electric Company Ltd,KREL,NSE,Промышленность,"0,67"
Kirloskar Ferrous Ind,KRFI,NSE,Материалы,"1,33"
Kridhan Infra Ltd,KRID,NSE,Материалы,"-1,28"
Krishna Institute of Medical Sciences,KRII,NSE,Здравоохранение,"0,51"
Karma Energy Ltd,KRME,NSE,Коммунальные услуги,"-4,29"
Krishana Phoschem,KRPH,NSE,Материалы,"-2,49"
Krsnaa Diagnostics,KRSN,NSE,Здравоохранение,"-1,73"
Kriti Ind India,KRTI,NSE,Промышленность,"-2,88"
Kritika Wires,KRTK,NSE,Материалы,"-4,99"
KSB,KSBL,NSE,Промышленность,"-0,62"
Kshitij Polyline,KSHT,NSE,Промышленность,"4,98"
KSK Energy Ventures,KSKE,NSE,Коммунальные услуги,0
Ksolves India,KSOL,NSE,Информационные технологии,"1,3"
Kesoram Industries,KSRM,NSE,Материалы,"2,36"
KSS Ltd,KSSL,NSE,Услуги связи,0
Kotak Mahindra,KTKM,NSE,Финансы,"-0,93"
Kothari Sugars Chemicals,KTSG,NSE,Производители товаров массового потребления,"0,1"
Kaveri Seed Company Ltd,KVRI,NSE,Производители товаров массового потребления,"0,9"
Lagnam Spintex,LAGN,NSE,Потребительский сектор,"-2,89"
Lakshmi Energy and Foods,LAKO,NSE,Производители товаров массового потребления,0
Lambodhara Textiles Ltd,LAMB,NSE,Потребительский сектор,"-0,83"
Lancer Container Lines,LANC,NSE,Промышленность,"4,72"
Lmark Property Development,LAND,NSE,Недвижимость,"-0,79"
La Opala R G Ltd,LAOP,NSE,Потребительский сектор,"-1,73"
Larsen&Toubro,LART,NSE,Промышленность,"-0,84"
Lasa Supergenerics,LASA,NSE,Здравоохранение,"-1,85"
Latent View Analytics,LATN,NSE,Промышленность,"-1,22"
Latteys Industries,LATT,NSE,Промышленность,"-3,36"
Laurus Labs,LAUL,NSE,Здравоохранение,"-1,43"
Laxmi Goldorna House,LAXI,NSE,Недвижимость,0
Laxmi Cotspin,LAXM,NSE,Потребительский сектор,"0,62"
Laxmi Organic Co,LAXR,NSE,Материалы,"-1,72"
L C C Infotech Ltd,LCCI,NSE,Потребительский сектор,0
LEEL Electricals,LEEL,NSE,Промышленность,0
Le Merite Exports,LEME,NSE,Потребительский сектор,"-1,63"
Lemon Tree Hotels,LEMO,NSE,Потребительский сектор,"-4,15"
Lexus Granito,LEXU,NSE,Промышленность,"-0,99"
Lakshmi Finance and Industrial,LFIC,NSE,Финансы,"-1,85"
LG Balakrishnan Bros Ltd,LGB,NSE,Промышленность,"0,4"
LGB Forge Ltd,LGBL,NSE,Промышленность,0
Libas Designs,LIBA,NSE,Потребительский сектор,"0,2"
Liberty Shoes Ltd,LIBS,NSE,Потребительский сектор,"-0,21"
LIC Housing Finance,LICH,NSE,Финансы,"-2,55"
LIC India,LIFI,NSE,Финансы,"-0,82"
Likhitha,LIKI,NSE,Энергетика,"-1,69"
Linc Pen & Plastics Ltd,LINC,NSE,Промышленность,"-3,65"
BOC India,LIND,NSE,Материалы,"-0,26"
Lincoln Pharmaceuticals Ltd,LINP,NSE,Здравоохранение,0
Lakshmi Machine Works,LKMC,NSE,Промышленность,"-2,39"
Lokesh Machines Ltd,LOMA,NSE,Промышленность,"-2,75"
Lotus Eye Hospital Institute,LOTS,NSE,Здравоохранение,"-0,57"
Lovable Lingerie Ltd,LOVA,NSE,Потребительский сектор,"-1,47"
Larsen & Toubro Infotech,LRTI,NSE,Информационные технологии,"1,14"
Lloyds Steels,LSIL,NSE,Промышленность,"-1,14"
L&T Technology Services,LTEH,NSE,Промышленность,"0,09"
LT Finance Holdings Ltd,LTFH,NSE,Финансы,"-1,86"
LT Foods,LTOL,NSE,Производители товаров массового потребления,"-2,47"
Lumax AutoTech,LUAT,NSE,Потребительский сектор,"-0,76"
Lumax Industries Ltd,LUMA,NSE,Потребительский сектор,"1,73"
Lupin,LUPN,NSE,Здравоохранение,"-1,46"
Lux Industries Ltd,LUXI,NSE,Потребительский сектор,"-1,07"
Lakshmi Precision Screws Ltd,LXPR,NSE,Промышленность,"-3,7"
Lyka Labs Ltd,LYKA,NSE,Здравоохранение,"-0,9"
Lypsa Gems,LYPS,NSE,Потребительский сектор,"-0,83"
Maha Rashtra Apex,MAAC,NSE,Финансы,"1,79"
Macrotech Developers,MACE,NSE,Недвижимость,"-0,34"
Macpower CNC,MACP,NSE,Промышленность,"0,83"
Madhya Pradesh Today,MADA,NSE,Услуги связи,"-4,97"
Madhav Copper,MADC,NSE,Материалы,"0,52"
Mangalam Drugs Organics,MADR,NSE,Здравоохранение,"3,73"
Madhya Bharat Agro Products Ltd,MADY,NSE,Материалы,"-1,44"
Mahamaya Steel,MAHA,NSE,Материалы,"-0,63"
Mahindra Holidays Resorts India,MAHH,NSE,Потребительский сектор,"-1,32"
Mahindra & Mahindra,MAHM,NSE,Потребительский сектор,0
Mahindra CIE Automotive Ltd,MAHN,NSE,Потребительский сектор,"1,12"
Mahalaxmi Rubtech Ltd,MAHR,NSE,Потребительский сектор,"-0,73"
Maheshwari Logistics,MAHW,NSE,Промышленность,"-2,01"
Max India,MAII,NSE,Здравоохранение,"-0,82"
Maithan Alloys Ltd,MAIT,NSE,Материалы,"-0,54"
Mahindra Lifespace Developers,MALD,NSE,Недвижимость,"-0,13"
Mahindra Logistics,MALO,NSE,Промышленность,"-0,77"
Malu Paper Mills Ltd,MALP,NSE,Материалы,"-3,11"
Marvel Decor,MALR,NSE,Потребительский сектор,0
Maan Aluminium Ltd,MANA,NSE,Материалы,"1,02"
Manpasand Beverages Ltd,MANB,NSE,Производители товаров массового потребления,0
Manaksia Coated Metals Ltd,MANC,NSE,Материалы,"-0,79"
Marathon Nextgen Realty,MANE,NSE,Недвижимость,"-2,24"
Mangalam Organics,MANG,NSE,Материалы,"-1,99"
Man Infraconstruction,MANI,NSE,Промышленность,"-1,95"
Manaksia Ltd,MANK,NSE,Материалы,"-2,36"
Manaksia Aluminium Co Ltd,MANL,NSE,Материалы,"-1,62"
Manaksia Steels Ltd,MANM,NSE,Материалы,"0,91"
Mangalam Global Enterprise,MANP,NSE,Производители товаров массового потребления,"2,42"
Madhucon Projects Ltd,MAPR,NSE,Промышленность,"-3,25"
Marshall Machines,MARH,NSE,Промышленность,"-1,03"
Marksans Pharma Ltd,MARK,NSE,Здравоохранение,"-1,38"
Maral Overseas Ltd,MARL,NSE,Потребительский сектор,"-1,52"
Marine Electricals,MARN,NSE,Промышленность,"-2,65"
MAS Financial,MASF,NSE,Финансы,"-3,91"
Mask Investments,MASK,NSE,Финансы,"4,98"
Mastek,MAST,NSE,Информационные технологии,"-1,3"
Matrimony.Com,MATI,NSE,Услуги связи,"-2,47"
Mawana Sugars Ltd,MAWS,NSE,Производители товаров массового потребления,"-1,43"
Max Healthcare Institute,MAXE,NSE,Здравоохранение,"-1,39"
Max Financial,MAXI,NSE,Финансы,"-1,43"
Max Ventures,MAXV,NSE,Материалы,"-4,13"
Mayur Uniquoters Ltd,MAYU,NSE,Материалы,"-2,03"
Mazda,MAZD,NSE,Промышленность,"0,54"
Mazagon Dock,MAZG,NSE,Промышленность,"1,82"
MphasiS,MBFL,NSE,Информационные технологии,"0,31"
MBL Infrastructures Ltd,MBLI,NSE,Промышленность,"-0,25"
McDowell Holdings Ltd,MCDH,NSE,Финансы,0
Multi Commodity Exchange Of India,MCEI,NSE,Финансы,"-0,6"
Mcleod Russel India,MCLE,NSE,Производители товаров массового потребления,"0,68"
McNally Bharat Engg Co Ltd,MCNL,NSE,Промышленность,"2,86"
Madras Fertilizers Ltd,MDFT,NSE,Материалы,"1,35"
Mindteck India,MDTK,NSE,Информационные технологии,"-3,12"
Madhav Marbles Granites,MDVM,NSE,Промышленность,"-3,06"
Medicamen Biotech,MEBI,NSE,Здравоохранение,"2,22"
MedPlus Health Services,MEDP,NSE,Производители товаров массового потребления,"-1,62"
Meghmani Organics,MEGI,NSE,Материалы,"-1,64"
Meghmani Finechem,MEGM,NSE,Материалы,"-1,8"
Megastar Foods,MEGS,NSE,Производители товаров массового потребления,"-1,02"
MIC Electronics Ltd,MELC,NSE,Информационные технологии,"4,33"
Melstar Information Tech,MELS,NSE,Информационные технологии,"4,76"
Menon Bearings Ltd,MENO,NSE,Потребительский сектор,"-1,07"
Metro Brands,METB,NSE,Потребительский сектор,"-0,73"
Metkore Alloys Industries,METK,NSE,Материалы,0
Metropolis Healthcare,METP,NSE,Здравоохранение,"0,91"
Magadh Sugar Energy,MGAD,NSE,Производители товаров массового потребления,"0,67"
Mahanagar Gas,MGAS,NSE,Коммунальные услуги,"-1,79"
Motor General Finance Ltd,MGF,NSE,Недвижимость,"1,1"
Mangalam Cement Ltd,MGLC,NSE,Материалы,"2,15"
Magnum Ventures Ltd,MGNM,NSE,Материалы,"19,69"
Mahickra Chemicals,MHIC,NSE,Материалы,"1,92"
Mahindra Epc,MHID,NSE,Промышленность,"0,91"
Maharashtra Scooters,MHSC,NSE,Потребительский сектор,"-0,27"
Maharashtra Seamless,MHSM,NSE,Материалы,"1,49"
20 Microns Ltd,MICR,NSE,Материалы,"-2,09"
Minda Corp,MINC,NSE,Потребительский сектор,"-0,93"
Man Indus,MIND,NSE,Промышленность,"1,85"
Mindpool Tech,MINP,NSE,Информационные технологии,0
Mindspace Business,MINS,NSE,Недвижимость,"-0,66"
MindTree,MINT,NSE,Информационные технологии,"1,48"
MIRC Electronics,MIRC,NSE,Потребительский сектор,"-1,37"
Mirza International Ltd,MIRZ,NSE,Потребительский сектор,"-3,01"
Mishra Dhatu Nigam,MISR,NSE,Материалы,"-0,37"
MITCON Engineering,MITC,NSE,Промышленность,"-0,72"
Mittal Life Style,MITT,NSE,Потребительский сектор,"-4,35"
M K Proteins,MKPR,NSE,Производители товаров массового потребления,5
Mallcom India Ltd,MLCM,NSE,Промышленность,"-1,75"
Milton Industries,MLTO,NSE,Материалы,0
MM Forgings Ltd,MMFO,NSE,Материалы,"-2,32"
Mahindra & Mahindra Financial,MMFS,NSE,Финансы,"1,37"
MMP Industries,MMPI,NSE,Материалы,"-0,82"
MMTC Ltd,MMTC,NSE,Промышленность,"-1,93"
Manappuram Finance Ltd,MNFL,NSE,Финансы,"-0,88"
Mangalore Chemicals,MNGL,NSE,Материалы,"0,43"
Munjal Showa Ltd,MNJL,NSE,Потребительский сектор,"-0,99"
Manali Petrochemicals Ltd,MNLI,NSE,Материалы,"-1,3"
Manugraph India Ltd,MNUG,NSE,Промышленность,"0,33"
Manav Infra,MNVI,NSE,Промышленность,0
Monte Carlo Fashions,MOCF,NSE,Потребительский сектор,"-0,5"
Modi Rubber,MODI,NSE,Потребительский сектор,"-1,5"
Motilal Oswal Financials,MOFS,NSE,Финансы,"-1,46"
Mohini Health Hygiene,MOHH,NSE,Здравоохранение,"-4,29"
Mohota Industries,MOHO,NSE,Потребительский сектор,"-4,55"
Mohit Industries Ltd,MOHT,NSE,Потребительский сектор,"-4,29"
Moil Ltd,MOIL,NSE,Материалы,"1,01"
Moksh Ornaments,MOKS,NSE,Потребительский сектор,"3,83"
Mold-Tek Tech,MOLD,NSE,Промышленность,"-0,27"
Mold Tek Packaging Ltd,MOLT,NSE,Материалы,"-1,15"
Modison Metals,MOME,NSE,Промышленность,"-0,27"
Monarch Networth Capital Ltd,MONR,NSE,Финансы,"-1,07"
Morepen Laboratories Ltd,MORL,NSE,Здравоохранение,"-1,66"
Morarjee Textiles Ltd,MORT,NSE,Потребительский сектор,"-0,52"
MEP Infrastructure,MPIN,NSE,Промышленность,"4,98"
MPS Ltd,MPSL,NSE,Услуги связи,"-1,82"
Marico,MRCO,NSE,Производители товаров массового потребления,"-1,3"
Mercator,MRCT,NSE,Промышленность,0
MRF,MRF,NSE,Потребительский сектор,"-0,98"
MRO TEK Ltd,MROT,NSE,Информационные технологии,"-0,59"
Mangalore Refinery,MRPL,NSE,Энергетика,"-1,32"
Mrs Bectors Food,MRSB,NSE,Производители товаров массового потребления,"0,48"
Maruti Suzuki,MRTI,NSE,Потребительский сектор,"0,86"
Megasoft Ltd,MSFT,NSE,Информационные технологии,"-1,32"
MSP Steel Power Ltd,MSPO,NSE,Материалы,"-2,06"
MSTC,MSTC,NSE,Промышленность,"0,38"
Motherson Sumi Wiring India,MSWI,NSE,Потребительский сектор,"-0,06"
Metalyst Forgings,MTAL,NSE,Материалы,"-3,49"
Mtar Technologies,MTAR,NSE,Промышленность,"1,33"
MT Educare,MTED,NSE,Потребительский сектор,"-1,15"
Mahanagar Telephone Nigam,MTNL,NSE,Услуги связи,"-2,24"
Munjal Auto Industries Ltd,MUAU,NSE,Потребительский сектор,"-1,42"
Muk Ltd,MUKA,NSE,Материалы,"-1,13"
Mukta Arts Ltd,MUKR,NSE,Услуги связи,"2,44"
Murudeshwar Ceramics Ltd,MURD,NSE,Промышленность,"-2,75"
Music Broadcast,MUSI,NSE,Услуги связи,"-0,41"
Muthoot Capital Services Ltd,MUTH,NSE,Финансы,"-1,02"
Muthoot Finance Ltd,MUTT,NSE,Финансы,"-0,97"
MVL,MVLL,NSE,Недвижимость,0
Nava Bharat Ventures,NAAL,NSE,Промышленность,"-0,3"
NACL Industries,NACL,NSE,Материалы,"-0,99"
Navin Fluorine,NAFL,NSE,Материалы,"-0,45"
National Fertilizers,NAFT,NSE,Материалы,"-1,6"
Naga Dhunseri,NAGD,NSE,Финансы,"-2,92"
Nagreeka Exports Ltd,NAGR,NSE,Потребительский сектор,"2,06"
Nahar Capital Fin Services,NAHA,NSE,Финансы,"-0,38"
Nahar Poly Films Ltd,NAHR,NSE,Материалы,"-3,66"
Nakoda Industries,NAKD,NSE,Производители товаров массового потребления,"-3,88"
Nakoda Ltd,NAKO,NSE,Потребительский сектор,0
Nalwa Sons Investments Ltd,NALS,NSE,Финансы,"1,16"
National Aluminium,NALU,NSE,Материалы,"-0,69"
Nandani Creation,NANA,NSE,Потребительский сектор,"2,12"
Nan Denim Ltd,NANE,NSE,Потребительский сектор,"-0,51"
Narmada Agrobase,NARD,NSE,Производители товаров массового потребления,0
Narayana Hrudayalaya,NARY,NSE,Здравоохранение,"0,3"
Nath Bio Genes India Ltd,NATB,NSE,Производители товаров массового потребления,"-1,63"
National Highways Infra Trust Unt,NATG,NSE,Финансы,0
Natco Pharma Ltd,NATP,NSE,Здравоохранение,"-1,55"
Navneet Publications India,NAVN,NSE,Услуги связи,"0,46"
Navkar Corporation Ltd,NAVR,NSE,Промышленность,"3,99"
Nazara Technologies,NAZA,NSE,Услуги связи,"-1,75"
NBCC India,NBCC,NSE,Промышленность,"-1,09"
NRB Bearings Ltd,NBEA,NSE,Промышленность,"-2,38"
NBI Industrial,NBII,NSE,Финансы,"1,79"
NCC,NCCL,NSE,Промышленность,"-1,77"
Nagreeka Capital Infrastructure,NCIL,NSE,Финансы,"1,21"
Ncl Industries Ltd,NCLI,NSE,Материалы,"2,45"
Nitco Ltd,NCOT,NSE,Промышленность,"1,31"
NDR Auto Components,NDRA,NSE,Потребительский сектор,"-1,28"
New Delhi Television,NDTV,NSE,Услуги связи,"-2,9"
North Eastern Carryingoration,NECC,NSE,Промышленность,"-0,82"
Nectar Lifesciences Ltd,NECT,NSE,Здравоохранение,"-1,12"
Network18 Media & Investments,NEFI,NSE,Услуги связи,"-1,76"
Nelco,NELC,NSE,Информационные технологии,"-4,04"
Neogen Chemicals,NEOE,NSE,Материалы,"0,04"
Nestle India Ltd,NEST,NSE,Производители товаров массового потребления,"-0,7"
Network People Services Technologies,NETO,NSE,Информационные технологии,0
Neueon Towers,NEUE,NSE,Материалы,0
Neul Laboratories Ltd,NEUL,NSE,Здравоохранение,"7,54"
Newgen Software,NEWG,NSE,Информационные технологии,"-0,04"
Next Mediaworks Ltd,NEXM,NSE,Услуги связи,"-3,64"
Nagarjuna Fertilizers Chemicals,NGFR,NSE,Материалы,"-1,79"
Nila Infrastructures Ltd,NHI,NSE,Промышленность,"-2,24"
Nahar Industrial Enterprises,NHIE,NSE,Потребительский сектор,"-1,97"
NHPC,NHPC,NSE,Коммунальные услуги,"1,06"
Nahar Spinning Mills Ltd,NHRS,NSE,Потребительский сектор,"-1,03"
NRB Industrial Bearings Ltd,NIBL,NSE,Промышленность,"-2,31"
Nidan Laboratories Healthcare,NIDN,NSE,Здравоохранение,"-1,19"
Nitin Fire Protection Industries,NIFP,NSE,Промышленность,0
NIIT,NIIT,NSE,Информационные технологии,"-2,51"
Nila Spaces,NILS,NSE,Недвижимость,0
Nippon India,NIPF,NSE,Финансы,"-0,15"
Niraj Ispat Industries,NIRA,NSE,,0
Niraj Cement Structurals,NIRC,NSE,Промышленность,"-1,11"
Nitin Spinners Ltd,NISP,NSE,Потребительский сектор,"0,44"
Nitiraj Engineers,NITR,NSE,Информационные технологии,"-1,29"
N K Industries,NKIN,NSE,Производители товаров массового потребления,"4,91"
Nilkamal,NKML,NSE,Материалы,"-0,86"
Nelcast Ltd,NLCA,NSE,Материалы,0
NLC India,NLCI,NSE,Коммунальные услуги,"0,36"
NMDC,NMDC,NSE,Материалы,"1,33"
Nocil Ltd,NOCI,NSE,Материалы,"-2,56"
Noida Toll Bridge Company,NOID,NSE,Промышленность,"-0,6"
Novartis India Ltd BSE,NOIN,NSE,Здравоохранение,"-0,28"
N R Agarwal,NRAI,NSE,Материалы,"1,58"
Nucleus Software Exports Ltd,NSEL,NSE,Информационные технологии,"-2,12"
Nesco,NSEN,NSE,Недвижимость,"-1,48"
Norben Tea Exports Ltd,NTE,NSE,Производители товаров массового потребления,"-4,08"
NTPC,NTPC,NSE,Коммунальные услуги,"-0,18"
National Steel Agro Ind,NTST,NSE,Материалы,"4,11"
Nupur Recyclers,NUPU,NSE,Материалы,"-3,27"
Nureca,NURE,NSE,Здравоохранение,"-1,24"
Nu Tek India Ltd,NUTK,NSE,Промышленность,0
Nuvoco Vistas,NUVO,NSE,Материалы,"-1,75"
NXTDIGITAL,NXTD,NSE,Услуги связи,"-0,1"
OCL Iron Steel Ltd,OCLI,NSE,Материалы,0
Oil Country Tubular Ltd,OCTL,NSE,Энергетика,"-4,46"
Oberoi Realty,OEBO,NSE,Недвижимость,"-1,07"
Oriental Aromatics,OIEN,NSE,Материалы,"-1,27"
Oil India,OILI,NSE,Энергетика,"0,66"
Olectra Greentech,OLEC,NSE,Промышленность,"-1,4"
Omaxe,OMAX,NSE,Недвижимость,"-2,13"
Omfurn,OMFU,NSE,Промышленность,0
Om Infra,OMIR,NSE,Промышленность,"-2,19"
Omkar Speciality Chemicals Ltd,OMKS,NSE,Материалы,"-1,07"
